Time (s),Velocity (rad/s),Setpoint (rad/s),Control Signal (V)
9.5367431640625e-07,-0.23,80.0,11.99
0.020588397979736328,0.97,80.0,11.99
0.04044461250305176,2.06,80.0,11.99
0.060649871826171875,4.23,80.0,11.99
0.08076810836791992,7.38,80.0,11.99
0.1012117862701416,10.25,80.0,11.99
0.12166690826416016,13.45,80.0,11.99
0.14138126373291016,17.55,80.0,11.99
0.1626265048980713,21.27,80.0,11.99
0.18263936042785645,25.83,80.0,11.99
0.2027883529663086,29.99,80.0,11.99
0.22266292572021484,34.95,80.0,11.99
0.24350643157958984,39.46,80.0,11.99
0.2636244297027588,44.74,80.0,11.99
0.28365564346313477,49.55,80.0,11.99
0.3047962188720703,54.52,80.0,11.99
0.3395218849182129,59.62,80.0,11.99
0.34450769424438477,64.86,80.0,11.99
0.3655669689178467,69.63,80.0,11.08
0.3854653835296631,73.96,80.0,6.96
0.4055800437927246,78.5,80.0,2.47
0.42571067810058594,82.04,80.0,-0.83
0.4467043876647949,85.26,80.0,-3.89
0.46674418449401855,88.77,80.0,-7.47
0.4865450859069824,91.39,80.0,-9.95
0.5074048042297363,93.18,80.0,-11.55
0.5275583267211914,94.22,80.0,-11.99
0.5477159023284912,95.16,80.0,-11.99
0.5682907104492188,96.02,80.0,-11.99
0.588531494140625,95.63,80.0,-11.99
0.6086115837097168,95.27,80.0,-11.99
0.6288003921508789,93.76,80.0,-11.43
0.6493539810180664,92.98,80.0,-10.78
0.6696090698242188,91.68,80.0,-9.46
0.6896142959594727,89.91,80.0,-7.6
0.7098252773284912,88.3,80.0,-6.02
0.745729923248291,86.83,80.0,-4.63
0.750438928604126,84.91,80.0,-2.65
0.7707948684692383,83.74,80.0,-1.66
0.791536808013916,82.69,80.0,-0.72
0.8116002082824707,81.13,80.0,0.89
0.8316283226013184,79.72,80.0,2.31
0.8518729209899902,79.03,80.0,2.84
0.8723249435424805,77.81,80.0,4.13
0.8925981521606445,76.69,80.0,5.27
0.9125752449035645,75.68,80.0,6.29
0.9334893226623535,74.76,80.0,7.23
0.953484296798706,73.92,80.0,8.09
0.9735469818115234,73.75,80.0,8.14
0.9936308860778809,73.0,80.0,9.01
1.0146849155426025,72.32,80.0,9.77
1.0347073078155518,71.7,80.0,10.46
1.0548293590545654,71.73,80.0,10.35
1.0751736164093018,71.75,80.0,10.33
1.0954475402832031,71.19,80.0,11.09
1.1156227588653564,71.26,80.0,11.0
1.1364820003509521,71.33,80.0,10.97
1.1565678119659424,71.39,80.0,10.97
1.1767926216125488,71.44,80.0,10.99
1.1969549655914307,72.08,80.0,10.28
1.2172317504882812,72.07,80.0,10.45
1.237755537033081,72.06,80.0,10.58
1.2580530643463135,72.65,80.0,9.94
1.278313398361206,73.18,80.0,9.43
1.2985429763793945,73.07,80.0,9.74
1.318610668182373,73.56,80.0,9.23
1.3388373851776123,74.01,80.0,8.81
1.3593854904174805,74.42,80.0,8.46
1.3796732425689697,74.79,80.0,8.14
1.399609088897705,75.72,80.0,7.12
1.4205079078674316,75.97,80.0,7.01
1.4405829906463623,76.2,80.0,6.87
1.4605391025543213,76.41,80.0,6.73
1.4806747436523438,77.19,80.0,5.85
1.5014448165893555,76.72,80.0,6.6
1.52150559425354,77.48,80.0,5.7
1.5563912391662598,76.98,80.0,6.44
1.5623016357421875,77.12,80.0,6.28
1.5821881294250488,77.25,80.0,6.16
1.6024448871612549,77.37,80.0,6.06
1.6233570575714111,77.47,80.0,5.98
