Time (s),Velocity (rad/s),Voltage (V)
1.430511474609375e-06,0.0,10.0
0.020133256912231445,0.0,10.0
0.04067206382751465,0.0,10.0
0.060597896575927734,0.0,10.0
0.08064126968383789,0.0,10.0
0.10076022148132324,0.0,10.0
0.12160706520080566,0.0,10.0
0.1566781997680664,0.0,10.0
0.16139793395996094,0.0,10.0
0.18242335319519043,0.0,10.0
0.20251679420471191,0.0,10.0
0.22248530387878418,0.0,10.0
0.2426283359527588,0.0,10.0
0.26353907585144043,0.0,10.0
0.28334522247314453,0.0,10.0
0.3033764362335205,0.0,10.0
0.32435154914855957,0.0,10.0
0.3444669246673584,0.0,10.0
0.3654825687408447,0.0,10.0
0.3852362632751465,0.0,10.0
0.4054908752441406,0.0,10.0
0.4254467487335205,0.0,10.0
0.44552016258239746,0.0,10.0
0.466306209564209,0.0,10.0
0.4865992069244385,0.0,10.0
0.5066990852355957,0.0,10.0
0.5273044109344482,0.0,10.0
0.5624446868896484,0.0,10.0
0.5674850940704346,0.0,10.0
0.5876016616821289,0.0,10.0
0.6083369255065918,0.0,10.0
0.6284637451171875,0.0,10.0
0.64853835105896,0.0,10.0
0.6694254875183105,0.0,10.0
0.689155101776123,0.0,10.0
0.7096083164215088,0.0,10.0
0.7305383682250977,0.0,10.0
0.7503385543823242,0.0,10.0
0.7706239223480225,0.0,10.0
0.7905368804931641,0.0,10.0
0.8114666938781738,0.0,10.0
0.8316304683685303,0.0,10.0
0.85162353515625,0.0,10.0
0.8724105358123779,0.0,10.0
0.892432689666748,0.0,10.0
0.9124913215637207,0.0,10.0
0.9325120449066162,0.0,10.0
0.9683561325073242,0.0,10.0
0.9733679294586182,0.0,10.0
0.9934360980987549,0.0,10.0
1.0140883922576904,0.0,10.0
1.0343806743621826,0.0,10.0
1.0542161464691162,0.0,10.0
1.074589729309082,0.0,10.0
1.0955710411071777,0.0,10.0
1.1155853271484375,0.0,10.0
1.1355769634246826,0.0,10.0
1.1566901206970215,0.0,10.0
1.1763553619384766,0.0,10.0
1.1966657638549805,0.0,10.0
1.217597484588623,0.0,10.0
1.237579345703125,0.0,10.0
1.2576334476470947,0.0,10.0
1.2773668766021729,0.0,10.0
1.2983438968658447,0.0,10.0
1.3184566497802734,0.0,10.0
1.3384339809417725,0.0,10.0
1.374460220336914,0.0,10.0
1.3793885707855225,0.0,10.0
1.3995716571807861,0.0,10.0
1.4196064472198486,0.0,10.0
1.4403491020202637,0.0,10.0
1.4604976177215576,0.0,10.0
1.4804224967956543,0.0,10.0
1.5014641284942627,0.0,10.0
1.5215835571289062,0.0,10.0
1.5414612293243408,0.0,10.0
1.5624146461486816,0.0,10.0
1.5823895931243896,0.0,10.0
1.6024773120880127,0.0,10.0
1.6224701404571533,0.0,10.0
1.6434133052825928,0.0,10.0
1.6636481285095215,0.0,10.0
1.683593511581421,0.0,10.0
1.70436692237854,0.0,10.0
1.7245724201202393,0.0,10.0
1.7444963455200195,0.0,10.0
1.7646894454956055,0.0,10.0
1.7853658199310303,0.0,10.0
1.8056738376617432,0.0,10.0
1.8255109786987305,0.0,10.0
1.8463428020477295,0.0,10.0
1.866344928741455,0.0,10.0
1.8866024017333984,0.0,10.0
1.9074451923370361,0.0,10.0
1.9274559020996094,0.0,10.0
1.9473626613616943,0.0,10.0
1.967322826385498,0.0,10.0
1.9884591102600098,0.0,10.0
2.008391857147217,0.0,10.0
2.028468370437622,0.0,10.0
2.0493812561035156,0.0,10.0
2.069214344024658,0.0,10.0
2.089590311050415,0.0,10.0
2.109729051589966,0.0,10.0
2.130500555038452,0.0,10.0
2.1504597663879395,0.0,10.0
2.18562650680542,0.0,10.0
2.1913681030273438,0.0,10.0
2.211562395095825,0.0,10.0
2.2314794063568115,0.0,10.0
2.2524988651275635,0.0,10.0
2.272360324859619,0.0,10.0
2.2925446033477783,0.0,10.0
2.31241774559021,0.0,10.0
2.333268404006958,0.0,10.0
2.3535704612731934,0.0,10.0
2.3885281085968018,0.0,10.0
2.3944554328918457,0.0,10.0
2.4143621921539307,0.0,10.0
2.434417247772217,0.0,10.0
2.4544947147369385,0.0,10.0
2.4753785133361816,0.0,10.0
2.4955806732177734,0.0,10.0
2.515644073486328,0.0,10.0
2.5364294052124023,0.0,10.0
2.556469202041626,0.0,10.0
2.5763611793518066,0.0,10.0
2.5965020656585693,0.0,10.0
2.6173248291015625,0.0,10.0
2.637463331222534,0.0,10.0
2.657677173614502,0.0,10.0
2.678511619567871,0.0,10.0
2.698582649230957,0.0,10.0
2.718618869781494,0.0,10.0
2.739532470703125,0.0,10.0
2.7595913410186768,0.0,10.0
2.779487371444702,0.0,10.0
2.7996506690979004,0.0,10.0
2.820305347442627,0.0,10.0
2.8404457569122314,0.0,10.0
2.860671281814575,0.0,10.0
2.8816134929656982,0.0,10.0
2.901557445526123,0.0,10.0
2.9214396476745605,0.0,10.0
2.9418253898620605,0.0,10.0
2.9625022411346436,0.0,10.0
2.982421398162842,0.0,10.0
3.002401828765869,0.0,10.0
3.0236802101135254,0.0,10.0
3.043545722961426,0.0,10.0
3.063621997833252,0.0,10.0
3.0845119953155518,0.0,10.0
3.104534387588501,0.0,10.0
3.1246337890625,0.0,10.0
3.144423246383667,0.0,10.0
3.1656148433685303,0.59,10.0
3.185572385787964,0.54,10.0
3.205598831176758,0.49,10.0
3.2263755798339844,0.44,10.0
3.2465157508850098,0.4,10.0
3.2665843963623047,0.37,10.0
